ردیف,نام فارسی,برچسب موجود در CRM,نام انگلیسی / LogicalName,نوع فیلد انگلیسی,نوع فیلد فارسی,قابل خواندن,وضعیت نام فارسی
334,تاریخ پایان,Done Date,brd_donedate,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
335,برچسب فارسی در CRM ثبت نشده,Customer Old,brd_customerold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
336,برچسب فارسی در CRM ثبت نشده,Customer Type,customeridtype,EntityName,نام موجودیت,بله,نیازمند تعیین برچسب توسط مالک CRM
337,برچسب فارسی در CRM ثبت نشده,Assign To ProductOwner Number,brd_assigntoproductownernumber,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
338,علت ریشه‌ای,Root Cause,brd_rootcause,String,رشته‌ای,بله,ترجمه کنترل‌شده
339,برچسب فارسی در CRM ثبت نشده,ثبت نشده,createdbyyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
340,برچسب فارسی در CRM ثبت نشده,Resolve By KPI,resolvebykpiid,Lookup,ارتباط با رکورد دیگر,بله,نیازمند تعیین برچسب توسط مالک CRM
341,برچسب فارسی در CRM ثبت نشده,Assign To Database Date,brd_assigntodatabasedate,DateTime,تاریخ و زمان,بله,نیازمند تعیین برچسب توسط مالک CRM
342,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_backlogreasonname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
343,برچسب فارسی در CRM ثبت نشده,ثبت نشده,modifiedbyexternalpartyyominame,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
344,برچسب فارسی در CRM ثبت نشده,ثبت نشده,slainvokedidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
345,برچسب فارسی در CRM ثبت نشده,Release Time Old,brd_releasetimeold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
346,تاریخ شروع برنامه‌ریزی‌شده,Planned Start Date,brd_plannedstartdate,DateTime,تاریخ و زمان,بله,ترجمه کنترل‌شده
347,برچسب فارسی در CRM ثبت نشده,Backlog Status Reason,brd_backlogstatusreason,Picklist,انتخابی,بله,نیازمند تعیین برچسب توسط مالک CRM
348,برچسب فارسی در CRM ثبت نشده,ثبت نشده,contractdetailidname,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
349,وضعیت کلی,Status,statecode,State,وضعیت سیستمی,بله,ترجمه کنترل‌شده
350,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_quotename,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
351,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_responsiblename,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
352,برچسب فارسی در CRM ثبت نشده,ثبت نشده,brd_servicedeliverymethodname,Virtual,محاسباتی/نمایشی,بله,نیازمند تعیین برچسب توسط مالک CRM
353,ارجاع‌شده,Is Escalated,isescalated,Boolean,بله/خیر,بله,ترجمه کنترل‌شده
354,برچسب فارسی در CRM ثبت نشده,Creation Date To Now,brd_creationdatetonow,Decimal,عدد اعشاری,بله,نیازمند تعیین برچسب توسط مالک CRM
355,کاربر مالک,Owning User,owninguser,Lookup,ارتباط با رکورد دیگر,بله,ترجمه کنترل‌شده
356,برچسب فارسی در CRM ثبت نشده,Last SLA applied Old,brd_lastslaappliedold,String,رشته‌ای,بله,نیازمند تعیین برچسب توسط مالک CRM
357,برچسب فارسی در CRM ثبت نشده,Follow up Task Created,followuptaskcreated,Boolean,بله/خیر,بله,نیازمند تعیین برچسب توسط مالک CRM
